[25-Oct-2012 16:21:17] PHP Parse error:  syntax error, unexpected T_OBJECT_CAST, expecting '(' in /var/www/vrc-new/profiles/vrc/modules/features/vrc_default_content_en/vrc_default_content_en.features.content.inc on line 1226
[25-Oct-2012 14:36:45] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1239
[25-Oct-2012 14:36:45] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1243
[25-Oct-2012 16:36:58] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1239
[25-Oct-2012 16:36:58] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1243
[25-Oct-2012 16:36:58] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1243
[25-Oct-2012 16:36:58] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1243
[25-Oct-2012 16:37:07] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1239
[25-Oct-2012 16:37:07] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1243
[25-Oct-2012 16:37:18] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1239
[25-Oct-2012 16:37:18] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1243
[25-Oct-2012 16:37:27] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1239
[25-Oct-2012 16:37:27] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1243
[25-Oct-2012 16:37:37] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1239
[25-Oct-2012 16:37:37] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/vrc-new/includes/common.inc:2613) in /var/www/vrc-new/includes/bootstrap.inc on line 1243
